2019-04-17 03:08:14.481735|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.0.4.4 (2018-05-30 11:06:00) SDK
2019-04-17 03:08:14.493735|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (17763) x64 (AMD or Intel) Binary: 32bit
2019-04-17 03:08:14.508733|INFO    |ServerLibPriv |   |Using hardware aes
2019-04-17 03:08:14.548733|WARNING |Accounting    |   |Unable to find valid license key, falling back to limited functionality
2019-04-17 03:08:16.898924|INFO    |              |   |Puzzle precompute time: 2325
2019-04-17 03:08:16.922921|INFO    |VirtualSvrMgr |   |addServer() VirtualServer(1) started
2019-04-17 03:21:39.927988|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:21:55.051087|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:40:06.566228|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:40:07.572710|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:40:07.586711|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:40:19.681610|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:40:26.746837|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:16.752054|WARNING |PktHandler    |   |detected incorrectly running system clock (<)
2019-04-17 03:45:16.795056|WARNING |PktHandler    |   |detected incorrectly running system clock (<)
2019-04-17 03:45:16.802053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:16.802053|WARNING |PktHandler    |   |detected incorrectly running system clock (<)
2019-04-17 03:45:16.810057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:16.827056|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:16.837054|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:16.854055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:16.871056|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:16.885057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:16.901058|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
